coach_name,total_decisions,go_rate,dqs,odr,dqs_rank,odr_rank,seasons,archetype,go_rate_rank
Brian Schottenheimer,105,0.2952380952380952,0.0045544435770499,0.819047619047619,1,1,2025–2025,Aggressive + Accurate,1
Aaron Glenn,137,0.291970802919708,0.0070409855814456,0.6788321167883211,23,61,2025–2025,Aggressive + Accurate,2
Dan Campbell,582,0.2835051546391752,0.0061874675629637,0.7302405498281787,9,12,2021–2025,Aggressive + Accurate,3
Dave Canales,251,0.2788844621513944,0.0088024292970096,0.6932270916334662,95,42,2024–2025,Aggressive + Inaccurate,4
Ben Johnson,140,0.2642857142857143,0.007778579256186,0.7428571428571429,43,6,2025–2025,Aggressive + Accurate,5
Kellen Moore,127,0.2519685039370078,0.0068022911088793,0.7244094488188977,16,16,2025–2025,Aggressive + Accurate,6
Matt Rhule,281,0.2455516014234875,0.0074073913391623,0.7046263345195729,30,32,2020–2022,Aggressive + Accurate,7
Kevin Stefanski,806,0.2332506203473945,0.0063128015098041,0.7320099255583127,11,11,2020–2025,Aggressive + Accurate,8
Brian Daboll,554,0.2328519855595668,0.0091656457025008,0.6805054151624549,117,59,2022–2025,Aggressive + Inaccurate,9
Shane Steichen,366,0.226775956284153,0.006168241669628,0.7704918032786885,8,2,2023–2025,Aggressive + Accurate,10
Brandon Staley,344,0.2238372093023256,0.0071406126368446,0.7122093023255814,24,25,2021–2023,Aggressive + Accurate,11
Kliff Kingsbury,474,0.2236286919831223,0.0062371379081122,0.7383966244725738,10,7,2019–2022,Aggressive + Accurate,12
Matt Eberflus,386,0.2227979274611398,0.0081753467447224,0.7020725388601037,62,36,2022–2024,Aggressive + Accurate,13
Doug Pederson,1001,0.2157842157842157,0.0078128100082161,0.7082917082917083,45,29,2016–2024,Aggressive + Accurate,14
Nick Sirianni,617,0.2155591572123176,0.0055243378121491,0.7617504051863857,2,3,2021–2025,Aggressive + Accurate,15
Brian Callahan,265,0.2150943396226415,0.0099864727641782,0.6339622641509434,147,131,2024–2025,Aggressive + Inaccurate,16
Mike McDaniel,465,0.2150537634408602,0.0066216552014144,0.7247311827956989,15,14,2022–2025,Aggressive + Accurate,17
Liam Coen,117,0.2136752136752136,0.005606978186819,0.7606837606837606,3,4,2025–2025,Aggressive + Accurate,18
Jonathan Gannon,340,0.2117647058823529,0.0061662717474644,0.7264705882352941,7,13,2023–2025,Aggressive + Accurate,19
Rob Chudzinski,139,0.2086330935251798,0.0077658161455682,0.7122302158273381,42,24,2013–2013,Aggressive + Accurate,20
Joe Judge,254,0.2047244094488189,0.0078132140250093,0.6929133858267716,46,43,2020–2021,Aggressive + Accurate,21
Frank Reich,606,0.2046204620462046,0.0073056487043766,0.7128712871287128,26,23,2018–2023,Aggressive + Accurate,22
Matt LaFleur,768,0.19921875,0.0056583150607149,0.73828125,4,8,2019–2025,Aggressive + Accurate,23
Matt Nagy,494,0.1963562753036437,0.0076484221566689,0.6619433198380567,35,88,2018–2021,Aggressive + Accurate,24
Dan Quinn,825,0.1939393939393939,0.0072296782513928,0.7090909090909091,25,27,2015–2025,Aggressive + Accurate,25
