coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
Brian Schottenheimer,105,0.004554443577049906,0.819047619047619,0.29523809523809524,0.38095238095238093,0.3238095238095238,0.4606954110720884,2025–2025,1,1
Nick Sirianni,617,0.005524337812149117,0.7617504051863857,0.21555915721231766,0.5283630470016207,0.2560777957860616,0.5800227305089368,2021–2025,2,3
Liam Coen,117,0.005606978186819089,0.7606837606837606,0.21367521367521367,0.5299145299145299,0.2564102564102564,0.6001873615317782,2025–2025,3,4
Matt LaFleur,768,0.005658315060714961,0.73828125,0.19921875,0.546875,0.25390625,0.5482197368998095,2019–2025,4,8
Lane Kiffin,159,0.006109343889047593,0.7232704402515723,0.18867924528301888,0.5786163522012578,0.23270440251572327,0.3900421222559896,2007–2008,5,17
Chris Tabor,61,0.006140133000733436,0.7049180327868853,0.36065573770491804,0.4918032786885246,0.14754098360655737,0.283260657052227,2023–2023,6,31
Jonathan Gannon,340,0.006166271747464465,0.7264705882352941,0.21176470588235294,0.5235294117647059,0.2647058823529412,0.3837622550495058,2023–2025,7,13
Shane Steichen,366,0.0061682416696280384,0.7704918032786885,0.226775956284153,0.4890710382513661,0.28415300546448086,0.4793691658447659,2023–2025,8,2
Dan Campbell,582,0.0061874675629637,0.7302405498281787,0.28350515463917525,0.4879725085910653,0.22852233676975944,0.5026804459020412,2021–2025,9,12
Kliff Kingsbury,474,0.0062371379081122905,0.7383966244725738,0.22362869198312235,0.5316455696202531,0.24472573839662448,0.44492054197821534,2019–2022,10,7
Kevin Stefanski,806,0.006312801509804147,0.7320099255583127,0.23325062034739455,0.5645161290322581,0.2022332506203474,0.44045172998292664,2020–2025,11,11
Jim Tomsula,144,0.006328722687265015,0.6597222222222222,0.13194444444444445,0.6805555555555556,0.1875,0.3246391023735669,2010–2015,12,96
DeMeco Ryans,439,0.006517935876179306,0.7357630979498861,0.13439635535307518,0.571753986332574,0.2938496583143508,0.5210857536230026,2023–2025,13,9
Jerod Mayo,124,0.006570964683761705,0.6935483870967742,0.1935483870967742,0.5645161290322581,0.24193548387096775,0.37587077324778584,2024–2024,14,41
Mike McDaniel,465,0.0066216552014144265,0.7247311827956989,0.21505376344086022,0.5204301075268817,0.2645161290322581,0.47819205990803004,2022–2025,15,14
Kellen Moore,127,0.006802291108879309,0.7244094488188977,0.25196850393700787,0.4566929133858268,0.29133858267716534,0.3038903108459264,2025–2025,16,16
Mike Macdonald,246,0.006874598805351432,0.6991869918699187,0.10975609756097561,0.5813008130081301,0.3089430894308943,0.5682676829448787,2024–2025,17,39
Mike Martz,561,0.006909784567522062,0.679144385026738,0.13903743315508021,0.5900178253119429,0.2709447415329768,0.5117750013615299,2000–2005,18,60
Freddie Kitchens,110,0.006929913051580381,0.6363636363636364,0.15454545454545454,0.5909090909090909,0.2545454545454545,0.45978859061102745,2019–2019,19,128
Kevin O'Connell,475,0.006939283919005886,0.72,0.1726315789473684,0.5515789473684211,0.27578947368421053,0.5044332471746419,2022–2025,20,19
Sean McVay,1116,0.006940754859172732,0.7087813620071685,0.15412186379928317,0.5528673835125448,0.29301075268817206,0.527806259041805,2017–2025,21,28
